,sms,label
3481,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,1
214,Sounds great! Are you home now?,0
1600,K.then any other special?,0
3326, what number do u live at? Is it 11?,0
5224,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""",0
2611,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a å£250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstopå£1.50/week,1
2127,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,0
2098,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",0
196,Did u got that persons story,0
1554,Yeah we do totes. When u wanna?,0
2653,Sorry da:)i was thought of calling you lot of times:)lil busy.i will call you at noon..,0
5431,If I was I wasn't paying attention,0
5318,"Good morning, my Love ... I go to sleep now and wish you a great day full of feeling better and opportunity ... You are my last thought babe, I LOVE YOU *kiss*",0
1056,Then u drive lor.,0
4710,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,0
887,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.,0
2006,Shopping lor. Them raining mah hard 2 leave orchard.,0
4535,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:,0
3066,Ok. So april. Cant wait,0
568,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0
4043,"Yes, my reg is  Ciao!",0
3162,This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,1
1487,I told your number to gautham..,0
5237,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch ,1
139,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,0
4412,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.,0
1807,Do have a nice day today. I love you so dearly.,0
1149,Not a drop in the tank,0
2114,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1
2177,Oh k :)why you got job then whats up?,0
4783,Indeed and by the way it was either or - not both !,0
463,"Sorry, I'll call later ok bye",0
2881,Hi Harish's rent has been transfred to ur Acnt.,0
2692,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1
4639,Do you hide anythiing or keeping distance from me,0
594,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...",0
4458,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send \go stop\"" to 89123""",1
450,hanks lotsly!,0
5524,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,1
3770,"Hi, wlcome back, did wonder if you got eaten by a lion or something, nothing much",0
5471,Yup,0
3048,Lol they don't know about my awesome phone. I could click delete right now if I want.,0
1921,No current and food here. I am alone also,0
1849,You got job in wipro:)you will get every thing in life in 2 or 3 years.,0
3944,I will be gentle princess! We will make sweet gentle love...,0
2304,Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,0
1174,Yay! You better not have told that to 5 other girls either.,0
4996,Esplanade lor. Where else...,0
451,Thanks for this hope you had a good day today,0
4687,Hmmm.but you should give it on one day..,0
3692,I was about to do it when i texted. I finished a long time ago and showered and er'ything!,0
3614,I enjoy watching and playing football and basketball. Anything outdoors. And you?,0
4194,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",1
3119,Good evening! this is roger. How are you?,0
1263,Ok. No wahala. Just remember that a friend in need ...,0
5218,I accidentally brought em home in the box,0
999,"Aight will do, thanks again for comin out",0
3282,Hey tmr maybe can meet you at yck,0
3745,I'm not. She lip synced with shangela.,0
5219,Pls she needs to dat slowly or she will vomit more.,0
1476,I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?,0
192,Hi :)finally i completed the course:),0
4880,When/where do I pick you up,0
5021,Yes its possible but dint try. Pls dont tell to any one k,0
4715,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",0
1726,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\""""",0
4706,Wif my family booking tour package.,0
5195,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,0
1338,Aight sorry I take ten years to shower. What's the plan?,0
4772,Ok then u tell me wat time u coming later lor.,0
4477,I anything lor.,0
2441,Back in brum! Thanks for putting us up and keeping us all and happy. See you soon ,0
4885,Or just do that 6times,0
1293,Happy birthday... May all ur dreams come true...,0
4200,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0
4667,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,0
2018,Ya it came a while ago,0
2609,"Awesome, text me when you're restocked",0
3279,Badrith is only for chennai:)i will surely pick for us:)no competition for him.,0
3670,Yup. Thk of u oso boring wat.,0
368,Wat uniform? In where get?,0
5304,Pls ask macho how much is budget for bb bold 2 is cos i saw a new one for  &lt;#&gt;  dollars.,0
1151,"Sorry, I'll call later",0
4701,Anytime...,0
2404,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.,0
2144,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,1
3101,Even if he my friend he is a priest call him now,0
5478,No probably  &lt;#&gt; %.,0
191,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,0
4850,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,0
108,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,0
5121,"Oops I did have it,  &lt;#&gt; ?",0
2925,Im done. Just studyn in library,0
3346,No problem baby. Is this is a good time to talk? I called and left a message.,0
1360,Yo dude guess who just got arrested the other day,0
1769,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0
4856,Thanks  and ! Or bomb and date as my phone wanted to say! ,0
5421,"Hi elaine, is today's meeting confirmed?",0
2457,K.k..how is your sister kids?,0
2218,Nice talking to you! please dont forget my pix :) i want to see all of you...,0
3622,"Damn, poor zac doesn't stand a chance",0
3333,"That's fine, have him give me a call if he knows what he wants or has any questions",0
476,Love you aathi..love u lot..,0
3694,"Hello, As per request from  &lt;#&gt;  Rs.5 has been transfered to you",0
4543,when you and derek done with class?,0
3896,No. Thank you. You've been wonderful,0
312,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week,0
508,What's the significance?,0
166,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,1
3381,"Well, I meant as opposed to my drunken night of before",0
4114,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.,0
5408,... Are you in the pub?,0
1024,Hasn't that been the pattern recently crap weekends?,0
1221,Prakesh is there know.,0
3209,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",0
1119,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",1
3649,"We are hoping to get away by 7, from Langport. You still up for town tonight?",0
5018,Great! How is the office today?,0
2103,Its a site to simulate the test. It just gives you very tough questions to test your readiness.,0
2781,Then its most likely called Mittelschmertz. Google it. If you dont have paracetamol dont worry it will go.,0
5395,Dunno lei shd b driving lor cos i go sch 1 hr oni.,0
5099,"Ah, well that confuses things, doesnt it? I thought was friends with now. Maybe i did the wrong thing but i already sort of invited -tho he may not come cos of money.",0
4617,Nvm... I'm going to wear my sport shoes anyway... I'm going to be late leh.,0
4978,Spending new years with my brother and his family. Lets plan to meet next week. Are you ready to be spoiled? :),0
3589,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,0
1860,"It could work, we'll reach a consensus at the next meeting",0
1583,"It's cool, let me know before it kicks off around  &lt;#&gt; , I'll be out and about all day",0
3658,Wait.i will come out.. &lt;#&gt;  min:),0
152,Ok... Ur typical reply...,0
2251,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?,0
3126,Thats cool. i liked your photos. You are very sexy!,0
5569,"Pity, * was in mood for that. So...any other suggestions?",0
2478,Not yet. Just i'd like to keep in touch and it will be the easiest way to do that from barcelona. By the way how ru and how is the house?,0
725,Got it! It looks scrumptious... daddy wants to eat you all night long!,0
1721,Am watching house ÛÒ very entertaining ÛÒ am getting the whole hugh laurie thing ÛÒ even with the stick ÛÒ indeed especially with the stick.,0
1503,Ill be there on  &lt;#&gt;  ok.,0
3070,Apart from the one i told you about yesterday?,0
3538,What happen dear. Why you silent. I am tensed,0
2215,Prabha..i'm soryda..realy..frm heart i'm sory,0
5369,Hi mom we might be back later than  &lt;#&gt; ,0
2031,"I noe la... U wana pei bf oso rite... K lor, other days den...",0
2303,Should I tell my friend not to come round til like  &lt;#&gt; ish?,0
31,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,0
1225,"sir, you will receive the account no another 1hr time. Sorry for the delay.",0
937,K:)k.are you in college?,0
3554,From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost å£1.50 min MobcudB more,1
752,Dont gimme that lip caveboy,0
3679,I cant pick the phone right now. Pls send a message,0
309,Where are the garage keys? They aren't on the bookshelf,0
4179,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care.",0
2119,I hope you know I'm still mad at you.,0
3856,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",0
3716,I'm gonna rip out my uterus.,0
2602,So when you gonna get rimac access ,0
4002,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0
495,Got meh... When?,0
1405,K..k..any special today?,0
3759,We'll join the  &lt;#&gt;  bus,0
205,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,0
1434,I asked sen to come chennai and search for job.,0
1135,K do I need a login or anything,0
3296,Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,1
868,Hello. We need some posh birds and chaps to user trial prods for champneys. Can i put you down? I need your address and dob asap. Ta r,1
701,"Sorry, I'll call later",0
5383,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.,0
305,Yup... From what i remb... I think should be can book... ,0
4219,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?,0
1192,I was up all night too worrying about this appt. It's a shame we missed a girls night out with quizzes popcorn and you doing my hair.,0
4396,When did dad get back.,0
2389,Boo. How's things? I'm back at home and a little bored already :-(,0
1534,Remember on that day..,0
1061,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,0
843,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ ",1
3353,R u sure they'll understand that! Wine * good idea just had a slurp!,0
2787,"Forgot it takes me 3 years to shower, sorry. Where you at/your phone dead yet?",0
1538,Midnight at the earliest,0
211,Home so we can always chat,0
1340,Might ax well im there.,0
1108,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),0
4346,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1
679,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0
5059,I think i am disturbing her da,0
3617,Hey check it da. I have listed da.,0
565,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?",0
4466,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",0
1532,Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th,0
4270,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,1
680,What is this 'hex' place you talk of? Explain!,0
180,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,0
5187,WHAT TIME U WRKIN?,0
2254,Ok. Me watching tv too.,0
2864,He says hi and to get your ass back to south tampa (preferably at a kegger),0
5269,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",1
278,Just sent it. So what type of food do you like?,0
1647,"Evening * v good if somewhat event laden. Will fill you in, don't you worry Û_ Head * ok but throat * wrecked. See you at six then!",0
5243,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,0
1204,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1
1905,"There're some people by mu, I'm at the table by lambda",0
432,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,1
289,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense.",0
1027,Are you not around or just still asleep? :V,0
535,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",0
2751,Play w computer? Aiyah i tok 2 u lor?,0
993,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,0
1187,There's no point hangin on to mr not right if he's not makin u happy,0
188,Have you got Xmas radio times. If not i will get it now,0
4241,Show ur colours! Euro 2004 2-4-1 Offer! Get an England Flag & 3Lions tone on ur phone! Click on the following service message for info!,1
5414,East coast,0
4099,I not at home now lei...,0
3795,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.,0
706,So when do you wanna gym harri,0
2104,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting,0
270,"Come to mu, we're sorting out our narcotics situation",0
2574,Your next amazing xxx PICSFREE1 video will be sent to you enjoy! If one vid is not enough for 2day text back the keyword PICSFREE1 to get the next video.,1
4552,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,0
3049,Ok,0
2412,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,1
4760,It's Ì© only $140 ard...Ìä rest all ard $180 at least...Which is Ì© price 4 Ì© 2 bedrm ($900),0
1832,What time is ur flight tmr?,0
4332,Y bishan lei... I tot Ì_ say lavender? ,0
111,Going for dinner.msg you after.,0
1170,"Yeah, we can probably swing by once my roommate finishes up with his girl",0
1391,"Haha just kidding, papa needs drugs",0
4337,Yes when is the appt again?,0
220,Ok no prob. Take ur time.,0
1662,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Callså£1/minMobsmoreLKPOBOX177HP51FL,1
627,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,0
3545,SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,0
2809,Mm so you asked me not to call radio,0
83,You will be in the place of that man,0
3102,"U so lousy, run already come back then half dead... Hee...",0
790,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,0
2476,i dnt wnt to tlk wid u,0
461,Great. Never been better. Each day gives even more reasons to thank God,0
4907,"I'm in solihull, | do you want anything?",0
551,"Hurry up, I've been weed-deficient for like three days",0
3375,"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",0
4020,We have to pick rayan macleran there.,0
3516,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",0
198,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,0
3193,And you! Will expect you whenever you text! Hope all goes well tomo ,0
2857,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,0
402,The hair cream has not been shipped.,0
3782,Can you do online transaction?,0
4456,Aight should I just plan to come up later tonight?,0
5308,I'm coming back on Thursday. Yay. Is it gonna be ok to get the money. Cheers. Oh yeah and how are you. Everything alright. Hows school. Or do you call it work now,0
2505,Congrats kano..whr s the treat maga?,0
2525,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",0
4975,You are gorgeous! keep those pix cumming :) thank you!,0
650,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0
4463,Ranjith cal drpd Deeraj and deepak 5min hold,0
708,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT",1
4338,Just got outta class gonna go gym.,0
5029,Is there coming friday is leave for pongal?do you get any news from your work place.,0
4921,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,0
2592,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?",0
2275,Is that on the telly? No its Brdget Jones!,0
1424,Yes.. now only saw your message..,0
1216,You have 1 new voicemail. Please call 08719181513.,1
5211,It is only yesterday true true.,0
4743,"\Thinking of u ;) x\""""",0
314,You made my day. Do have a great day too.,0
3915,Ok. C u then.,0
4434,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,1
1427,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,0
1780,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,1
4988,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,0
113,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,1
960,U sure u can't take any sick time?,0
4793,Sorry that was my uncle. I.ll keep in touch,0
2794,How will I creep on you now? ;_;,0
1114,No no:)this is kallis home ground.amla home town is durban:),0
4104,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...,0
5571,Rofl. Its true to its name,0
3749,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*",0
3956,Where is that one day training:-),0
4397,"Can you tell Shola to please go to college of medicine and visit the academic department, tell the academic secretary what the current situation is and ask if she can transfer there. She should ask someone to check Sagamu for the same thing and lautech. Its vital she completes her medical education in Nigeria. Its less expensive much less expensive. Unless she will be getting citizen rates in new zealand.",0
4168,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic,0
5048,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",0
1730,Doing project w frens lor. ,0
4314,Captain is in our room:),0
3399,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1
1634,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",1
3437,Its good to hear from you,0
1820,I'll probably be by tomorrow (or even later tonight if something's going on),0
3392,Ok thanx...,0
2689,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",0
4012,Ok.,0
326,Hi da:)how is the todays class?,0
604,Meet after lunch la...,0
4664,Ok set let u noe e details later...,0
4049,Ok ok take care. I can understand.,0
4685,But pls dont play in others life.,0
5246,Haven't eaten all day. I'm sitting here staring at this juicy pizza and I can't eat it. These meds are ruining my life.,0
5310,"yeah, that's what I was thinking",0
4825,"Haha, just what I was thinkin",0
1765,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,0
1858,"Sir, i am waiting for your call.",0
1288,Happy new year to u too!,0
4756,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",0
3536,"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",0
3739,No da. . Vijay going to talk in jaya tv,0
5416,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,0
2337,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;,0
348,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 per msg. TnCs on website. X,1
2099,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",1
3319,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?,0
2728,Urgent Please call 09066612661 from landline. å£5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE award. 20M12AQ. 150ppm. 16+ ÛÏ,1
789,Gud mrng dear hav a nice day,0
1626,Dear how you. Are you ok?,0
2868,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0
1871,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,0
3573,Yeah sure I'll leave in a min,0
321,Hey... Why dont we just go watch x men and have lunch... Haha ,0
871,Its going good...no problem..but still need little experience to understand american customer voice...,0
169,Yes :)it completely in out of form:)clark also utter waste.,0
3921,"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",0
2517,"Sorry, I'll call later",0
2552,"Oh fine, I'll be by tonight",0
4817,How's ur paper?,0
4374,Ur TONEXS subscription has been renewed and you have been charged å£4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*,1
5069,5p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,1
73,K..k:)where are you?how did you performed?,0
420,Yes:)from last week itself i'm taking live call.,0
2093,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",1
2002,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,1
3729,"I guess you could be as good an excuse as any, lol.",0
92,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,0
5096,But i'm really really broke oh. No amount is too small even  &lt;#&gt; ,0
1623,"Ah, well that confuses things, doesnÛ÷t it?",0
1897,"Aight, sounds good. When do you want me to come down?",0
4404,Dun need to use dial up juz open da browser n surf...,0
2776,Send me your id and password,0
5157,K k:) sms chat with me.,0
2318,On the way to office da..,0
2309,"I have 2 sleeping bags, 1 blanket and paper and  phone details. Anything else?",0
3919,FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,1
494,Are you free now?can i call now?,0
1375,We're finally ready fyi,0
3874,Okie but i scared u say i fat... Then u dun wan me already...,0
2704,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,1
4782,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",0
1164,Well. Im computerless. Time to make some oreo truffles,0
4011,Discussed with your mother ah?,0
1270,"Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..",0
2311,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726971 NOW! Only 10p per minute. BT-national-rate.",1
